org,title,type,start,end,time,location,region,online,credit,fee,status,desc,url
kaomt,BLE 정의용 (울산),workshop,2026-01-17,2026-01-18,09:00,울산,울산,false,0,학회 안내,예정,KAOMT BLE 코스,http://www.kaomt.or.kr/edu/?page_num=0102
iapnfk,2026년 3차 서울 기본중재과정 (개강),workshop,2026-09-12,2026-09-13,09:00,서울 (주말반),서울,false,0,학회 안내,모집중,IPNFA 국제코스 첫 주말,https://iapnfk.org/education/schedule_list.php
